devem	etmez	onlar
etmez	onlar	havada
onlar	havada	karada
havada	karada	ve
karada	ve	denizde
ve	denizde	fındık
denizde	fındık	kırarken
fındık	kırarken	masum
kırarken	masum	ve
masum	ve	mazlum
ve	mazlum	olanlar
mazlum	olanlar	onların
olanlar	onların	yüzünüzden
onların	yüzünüzden	yas
yüzünüzden	yas	içinde
yas	içinde	sessizce
içinde	sessizce	inlemektedirler
sessizce	inlemektedirler	bayramları
inlemektedirler	bayramları	sizin
bayramları	sizin	gibi
sizin	gibi	zehir
gibi	zehir	şuraya
zehir	şuraya	kalkmak
şuraya	kalkmak	nasip
kalkmak	nasip	olmasın
nasip	olmasın	yani
olmasın	yani	kadıninanamam
yani	kadıninanamam	jalefıs
kadıninanamam	jalefıs	da
jalefıs	da	fısfıs
da	fısfıs	fıs
fısfıs	fıs	da
fıs	da	fıs
da	fıs	kadınbenim
fıs	kadınbenim	aşkım
kadınbenim	aşkım	fındık
aşkım	fındık	kırıyor
fındık	kırıyor	ha
kırıyor	ha	haleyapma
ha	haleyapma	çok
haleyapma	çok	sakıncalı
çok	sakıncalı	dedik
sakıncalı	dedik	ama
dedik	ama	dinlemedi
ama	dinlemedi	bizi
dinlemedi	bizi	arkadaşım
bizi	arkadaşım	ne
arkadaşım	ne	zararı
ne	zararı	her
zararı	her	gün
her	gün	bir
gün	bir	avuç
bir	avuç	fındık
avuç	fındık	iyi
fındık	iyi	gelir
iyi	gelir	diyor
gelir	diyor	avuç
diyor	avuç	fındık
avuç	fındık	iyi
fındık	iyi	gelir
iyi	gelir	diyor
gelir	diyor	da
diyor	da	başka
da	başka	şey
başka	şey	demiyor
şey	demiyor	yani
demiyor	yani	mine
yani	mine	onu
mine	onu	emirgan
onu	emirgan	da
emirgan	da	görmüşler
da	görmüşler	birkaç
görmüşler	birkaç	gün
birkaç	gün	önce
gün	önce	vallah
önce	vallah	billah
vallah	billah	fındık
billah	fındık	kırıyormuş
fındık	kırıyormuş	fındıklarla
kırıyormuş	fındıklarla	sefadaymış
fındıklarla	sefadaymış	jaletarabyada
sefadaymış	jaletarabyada	görülmüş
jaletarabyada	görülmüş	üstelik
görülmüş	üstelik	dün
üstelik	dün	de
dün	de	beyoğlunda
de	beyoğlunda	güzellerle
beyoğlunda	güzellerle	mineyine
güzellerle	mineyine	erkekler
mineyine	erkekler	kadın
erkekler	kadın	mevsimlik
kadın	mevsimlik	işçilerden
mevsimlik	işçilerden	daha
işçilerden	daha	yüksek
daha	yüksek	ücrete
yüksek	ücrete	çalıştılar
ücrete	çalıştılar	budama
çalıştılar	budama	ve
budama	ve	kanal
ve	kanal	açma
kanal	açma	işlerinde
açma	işlerinde	kadın
işlerinde	kadın	işçi
kadın	işçi	fındık
işçi	fındık	kırmada
fındık	kırmada	da
kırmada	da	erkek
da	erkek	işçi
erkek	işçi	çalıştırılmadığı
işçi	çalıştırılmadığı	belirlendi
çalıştırılmadığı	belirlendi	erkekler
belirlendi	erkekler	arasında
erkekler	arasında	en
arasında	en	yüksek
en	yüksek	ücreti
yüksek	ücreti	ise
ücreti	ise	günlük
ise	günlük	ortalama
günlük	ortalama	milyon
ortalama	milyon	bin
milyon	bin	inlemelerimizin
bin	inlemelerimizin	duvarlarda
inlemelerimizin	duvarlarda	yankılanacağı
duvarlarda	yankılanacağı	kan
yankılanacağı	kan	kırmızısı
kan	kırmızısı	odamı
kırmızısı	odamı	gezdiririm
odamı	gezdiririm	uslu
gezdiririm	uslu	da
uslu	da	durmayız
da	durmayız	belki
durmayız	belki	bir
belki	bir	iki
bir	iki	fındık
iki	fındık	kırarız
fındık	kırarız	ne
kırarız	ne	dersin
ne	dersin	heyecanlandım
dersin	heyecanlandım	bile
heyecanlandım	bile	ya
bile	ya	beni
ya	beni	aramaya
beni	aramaya	ve
aramaya	ve	benim
ve	benim	erkeğim
benim	erkeğim	olmaya
erkeğim	olmaya	ne
olmaya	ne	dersin
ne	dersin	sen
dersin	sen	güzellik
sen	güzellik	tanrıçası
güzellik	tanrıçası	onlar
tanrıçası	onlar	insan
onlar	insan	ama
insan	ama	biz
ama	biz	neyiz
biz	neyiz	bilmem
neyiz	bilmem	en
bilmem	en	pahalı
en	pahalı	parfümleri
pahalı	parfümleri	süreriz
parfümleri	süreriz	güçlüysek
süreriz	güçlüysek	daima
güçlüysek	daima	defter
daima	defter	düreriz
defter	düreriz	lüks
düreriz	lüks	otellerde
lüks	otellerde	fındık
otellerde	fındık	kırarız
fındık	kırarız	açlar
kırarız	açlar	insan
açlar	insan	ama
insan	ama	biz
ama	biz	neyiz
biz	neyiz	bilmem
neyiz	bilmem	viski
bilmem	viski	kadehleri
viski	kadehleri	peş
kadehleri	peş	peşe
peş	peşe	gelir
peşe	gelir	mutlaka
gelir	mutlaka	yanında
mutlaka	yanında	hep
yanında	hep	havyar
hep	havyar	olur
havyar	olur	sanmayın
olur	sanmayın	bu
sanmayın	bu	dünya
bu	dünya	başka
dünya	başka	bi
başka	bi	dünya
bi	dünya	nasıl
dünya	nasıl	desem
nasıl	desem	koşullar
desem	koşullar	ne
koşullar	ne	olursa
ne	olursa	olsun
olursa	olsun	seveceksin
olsun	seveceksin	vazgeçmeyeceksin
seveceksin	vazgeçmeyeceksin	emekliliğinde
vazgeçmeyeceksin	emekliliğinde	de
emekliliğinde	de	s
de	s	nde
s	nde	fındık
nde	fındık	kıracaksın
fındık	kıracaksın	anlatılmaz
kıracaksın	anlatılmaz	yaşanır
anlatılmaz	yaşanır	dostum
yaşanır	dostum	iyi
dostum	iyi	düşün
iyi	düşün	iyi
düşün	iyi	karar
iyi	karar	ver
karar	ver	sendeki
ver	sendeki	bu
sendeki	bu	imkân
bu	imkân	bende
imkân	bende	olsa
bende	olsa	kesinlikle
olsa	kesinlikle	askeriye
kesinlikle	askeriye	derdim
askeriye	derdim	babam
derdim	babam	da
babam	da	hani
da	hani	benim
hani	benim	gençliğim
benim	gençliğim	nerede
gençliğim	nerede	der
nerede	der	gibi
der	gibi	allah
gibi	allah	sahibine
allah	sahibine	bağışlasın
sahibine	bağışlasın	yakışıklı
bağışlasın	yakışıklı	adammış
yakışıklı	adammış	ama
adammış	ama	kim
ama	kim	bilir
kim	bilir	ne
bilir	ne	kadar
ne	kadar	ceviz
kadar	ceviz	fındık
ceviz	fındık	kırmıştır
fındık	kırmıştır	ceviz
kırmıştır	ceviz	macunu
ceviz	macunu	kıprısın
macunu	kıprısın	en
kıprısın	en	meşhur
en	meşhur	pekmezlerinden
meşhur	pekmezlerinden	allah
pekmezlerinden	allah	günahlarımızı
allah	günahlarımızı	affetsin
günahlarımızı	affetsin	iki
affetsin	iki	tane
iki	tane	şarap
tane	şarap	aldık
şarap	aldık	fiyatları
aldık	fiyatları	idolüm
fiyatları	idolüm	olan
idolüm	olan	bir
olan	bir	kadın
bir	kadın	bu
kadın	bu	bölümde
bu	bölümde	rolü
bölümde	rolü	de
rolü	de	fazlaydı
de	fazlaydı	eski
fazlaydı	eski	günleri
eski	günleri	yad
günleri	yad	ettik
yad	ettik	kendisini
ettik	kendisini	bol
kendisini	bol	bol
bol	bol	görerek
bol	görerek	gençliğinde
görerek	gençliğinde	az
gençliğinde	az	fındık
az	fındık	kırmadığını
fındık	kırmadığını	biliyorduk
kırmadığını	biliyorduk	da
biliyorduk	da	bu
da	bu	bölüm
bu	bölüm	ortaya
bölüm	ortaya	çıkan
ortaya	çıkan	olay
çıkan	olay	bombaydı
olay	bombaydı	gerçekten
bombaydı	gerçekten	izlemeyenler
gerçekten	izlemeyenler	için
izlemeyenler	için	sürprizi
için	sürprizi	bozmamak
sürprizi	bozmamak	için
bozmamak	için	heba
için	heba	eden
heba	eden	insanların
eden	insanların	sırf
insanların	sırf	mhpde
sırf	mhpde	siyaset
mhpde	siyaset	yaptıkları
siyaset	yaptıkları	için
yaptıkları	için	ahlâksızca
için	ahlâksızca	eleştirilmesine
ahlâksızca	eleştirilmesine	sebebiyet
eleştirilmesine	sebebiyet	verirken
sebebiyet	verirken	ömrü
verirken	ömrü	fındık
ömrü	fındık	kırmakla
fındık	kırmakla	geçmiş
kırmakla	geçmiş	nice
geçmiş	nice	ahlâksızın
nice	ahlâksızın	büyük
ahlâksızın	büyük	dava
büyük	dava	adamı
dava	adamı	muamelesi
adamı	muamelesi	görmesine
muamelesi	görmesine	vesile
görmesine	vesile	olmaktadır
vesile	olmaktadır	sadece
olmaktadır	sadece	bunun
sadece	bunun	vebali
bunun	vebali	bile
vebali	bile	bu
bile	bu	kadrolu
bu	kadrolu	ve
kadrolu	ve	sezonluk
ve	sezonluk	olmak
sezonluk	olmak	üzere
olmak	üzere	bin
üzere	bin	çalışanı
bin	çalışanı	ile
çalışanı	ile	kapsamlı
ile	kapsamlı	ve
kapsamlı	ve	yapılandırılmış
ve	yapılandırılmış	bir
yapılandırılmış	bir	ağ
bir	ağ	olarak
ağ	olarak	faaliyet
olarak	faaliyet	gösteriyor
faaliyet	gösteriyor	fındık
gösteriyor	fındık	kırma
fındık	kırma	seçme
kırma	seçme	ve
seçme	ve	işleme
ve	işleme	açısından
işleme	açısından	üretim
açısından	üretim	kapasitesi
üretim	kapasitesi	oldukça
kapasitesi	oldukça	yüksek
oldukça	yüksek	ve
yüksek	ve	önümüzdeki
ve	önümüzdeki	yıllarda
önümüzdeki	yıllarda	şirketin
yıllarda	şirketin	büyümesini
şirketin	büyümesini	bilmiyorlar
büyümesini	bilmiyorlar	zengin
bilmiyorlar	zengin	oğlan
zengin	oğlan	polis
oğlan	polis	olur
polis	olur	mu
olur	mu	askere
mu	askere	gider
askere	gider	mi
gider	mi	dağa
mi	dağa	çıkar
dağa	çıkar	mı
çıkar	mı	sokakta
mı	sokakta	molotof
sokakta	molotof	atar
molotof	atar	mı
atar	mı	yapmaz
mı	yapmaz	çünkü
yapmaz	çünkü	fındık
çünkü	fındık	kırmakla
fındık	kırmakla	meşguldür
kırmakla	meşguldür	çünkü
meşguldür	çünkü	yurtdışında
çünkü	yurtdışında	okul
yurtdışında	okul	okuyordur
okul	okuyordur	ankarada
okuyordur	ankarada	starbucks
ankarada	starbucks	coffeede
starbucks	coffeede	comandante
coffeede	comandante	oyunu
comandante	oyunu	oynuyordur
oyunu	oynuyordur	karı
oynuyordur	karı	kız
karı	kız	bir
kız	bir	delinin
bir	delinin	ağzından
delinin	ağzından	ben
ağzından	ben	aslında
ben	aslında	dahi
aslında	dahi	olacaktım
dahi	olacaktım	ofsayta
olacaktım	ofsayta	düştüm
ofsayta	düştüm	çizginin
düştüm	çizginin	az
çizginin	az	daha
az	daha	berisinde
daha	berisinde	olsaydım
berisinde	olsaydım	çeviz
olsaydım	çeviz	üstünde
çeviz	üstünde	fındık
üstünde	fındık	kıracaktım
fındık	kıracaktım	gibi
kıracaktım	gibi	laflar
gibi	laflar	çıktığını
laflar	çıktığını	ya
çıktığını	ya	da
ya	da	dahi
da	dahi	bir
dahi	bir	zatın
bir	zatın	öyle
zatın	öyle	akıllı
öyle	akıllı	kitaplar
akıllı	kitaplar	yutmuş
kitaplar	yutmuş	biri
yutmuş	biri	gibi
biri	gibi	göründüğüme
gibi	göründüğüme	bakmayın
göründüğüme	bakmayın	aslında
bakmayın	aslında	şu
aslında	şu	değildir
şu	değildir	beklersiniz
değildir	beklersiniz	öylece
beklersiniz	öylece	işte
öylece	işte	bkz
işte	bkz	sevgilinin
bkz	sevgilinin	giderken
sevgilinin	giderken	bıraktığı
giderken	bıraktığı	şeyler
bıraktığı	şeyler	ya
şeyler	ya	iki
ya	iki	taraf
iki	taraf	da
taraf	da	karşısındakinin
da	karşısındakinin	fındık
karşısındakinin	fındık	kıracağını
fındık	kıracağını	bilecek
kıracağını	bilecek	ve
bilecek	ve	mezhebi
ve	mezhebi	geniş
mezhebi	geniş	ilişkiyi
geniş	ilişkiyi	yürütecek
ilişkiyi	yürütecek	ya
yürütecek	ya	da
ya	da	hiç
da	hiç	başlanmayacak
hiç	başlanmayacak	uzun
başlanmayacak	uzun	mesafelerin
uzun	mesafelerin	başka
mesafelerin	başka	seçeneği
başka	seçeneği	yoktur
seçeneği	yoktur	bir
yoktur	bir	güzellikte
bir	güzellikte	beni
güzellikte	beni	ağırlamıştı
beni	ağırlamıştı	hemen
ağırlamıştı	hemen	yatak
hemen	yatak	odasına
yatak	odasına	doğru
odasına	doğru	sürükledi
doğru	sürükledi	ne
sürükledi	ne	olduğunu
ne	olduğunu	anlamadım
olduğunu	anlamadım	ama
anlamadım	ama	akşama
ama	akşama	fındık
akşama	fındık	kırcağımın
fındık	kırcağımın	farkındaydım
kırcağımın	farkındaydım	gerçekten
farkındaydım	gerçekten	haz
gerçekten	haz	verici
haz	verici	bir
verici	bir	yatak
bir	yatak	sohbeti
yatak	sohbeti	vardı
sohbeti	vardı	çünkü
vardı	çünkü	bana
çünkü	bana	öyle
bana	öyle	bir
öyle	bir	yakınlaşıyordu
bir	yakınlaşıyordu	ki
yakınlaşıyordu	ki	kendimi
ki	kendimi	alp
kendimi	alp	gemi
alp	gemi	sahibi
gemi	sahibi	olması
sahibi	olması	kardeşinin
olması	kardeşinin	de
kardeşinin	de	marsilyada
de	marsilyada	fındık
marsilyada	fındık	ticaretiyle
fındık	ticaretiyle	iştigal
ticaretiyle	iştigal	etmesi
iştigal	etmesi	nedeniyle
etmesi	nedeniyle	fındık
nedeniyle	fındık	dış
fındık	dış	satımında
dış	satımında	ve
satımında	ve	fındık
ve	fındık	kırımında
fındık	kırımında	modernleşme
kırımında	modernleşme	öncüsü
modernleşme	öncüsü	olmuştur
öncüsü	olmuştur	tüm
olmuştur	tüm	dünyada
tüm	dünyada	ekonomik
dünyada	ekonomik	buhranı
ekonomik	buhranı	olarak
buhranı	olarak	bildiğimiz
olarak	bildiğimiz	ekonomik
bildiğimiz	ekonomik	krizin
ekonomik	krizin	yeni
krizin	yeni	kurulan
yeni	kurulan	giderilmiş
kurulan	giderilmiş	olur
giderilmiş	olur	kuruyemişlerden
olur	kuruyemişlerden	deyimler
kuruyemişlerden	deyimler	de
deyimler	de	yaratılmıştır
de	yaratılmıştır	örneğin
yaratılmıştır	örneğin	güzel
örneğin	güzel	olan
güzel	olan	herşeye
olan	herşeye	fıstık
herşeye	fıstık	gibi
fıstık	gibi	deriz
gibi	deriz	fındık
deriz	fındık	kırmak
fındık	kırmak	erkeklerle
kırmak	erkeklerle	kırıştıran
erkeklerle	kırıştıran	kız
kırıştıran	kız	ve
kız	ve	kadınlar
ve	kadınlar	için
kadınlar	için	kullanılan
için	kullanılan	bir
kullanılan	bir	deyimdir
bir	deyimdir	pestil
deyimdir	pestil	gibi
pestil	gibi	olmak
gibi	olmak	çok
olmak	çok	yorulup
çok	yorulup	halsiz
yorulup	halsiz	bu
halsiz	bu	sefer
bu	sefer	serinlik
sefer	serinlik	ve
serinlik	ve	sessizlik
ve	sessizlik	ah
sessizlik	ah	şu
ah	şu	ses
şu	ses	bir
ses	bir	sussa
bir	sussa	daha
sussa	daha	güzel
daha	güzel	olacak
güzel	olacak	da
olacak	da	masada
da	masada	akşamdan
masada	akşamdan	kalan
akşamdan	kalan	fındık
kalan	fındık	poşeti
fındık	poşeti	fındık
poşeti	fındık	kırmak
fındık	kırmak	rahatlatır
kırmak	rahatlatır	mıydı
rahatlatır	mıydı	acaba
mıydı	acaba	hem
acaba	hem	de
hem	de	gece
de	gece	gece
gece	gece	biraz
gece	biraz	denedim
biraz	denedim	ne
denedim	ne	çok
ne	çok	sesi
çok	sesi	çıkıyor
sesi	çıkıyor	bunun
çıkıyor	bunun	da
bunun	da	komşular
da	komşular	ne
komşular	ne	der
ne	der	sonra
der	sonra	onu
sonra	onu	da
onu	da	bi
da	bi	dakika
bi	dakika	biraz
dakika	biraz	başa
biraz	başa	sarsak
başa	sarsak	az
sarsak	az	önce
az	önce	biri
önce	biri	kas
biri	kas	mı
kas	mı	dedi
mı	dedi	kişisel
dedi	kişisel	gelişim
kişisel	gelişim	melişim
gelişim	melişim	iyi
melişim	iyi	hoş
iyi	hoş	ama
hoş	ama	bana
ama	bana	dirseğinin
bana	dirseğinin	içinde
dirseğinin	içinde	fındık
içinde	fındık	kıran
fındık	kıran	pazulardan
kıran	pazulardan	selülitsiz
pazulardan	selülitsiz	popolardan
selülitsiz	popolardan	bahset
popolardan	bahset	diyenleri
bahset	diyenleri	duyar
diyenleri	duyar	gibiyiz
duyar	gibiyiz	aslında
gibiyiz	aslında	salon
aslında	salon	eşit
salon	eşit	çeşit
eşit	çeşit	insanla
çeşit	insanla	dolu
insanla	dolu	küçüğü
dolu	küçüğü	vuruşu
küçüğü	vuruşu	ile
vuruşu	ile	golun
ile	golun	oluşumunda
golun	oluşumunda	parmağı
oluşumunda	parmağı	vardır
parmağı	vardır	chelseali
vardır	chelseali	joe
chelseali	joe	coleun
joe	coleun	veya
coleun	veya	manutdli
veya	manutdli	christiano
manutdli	christiano	ronaldonun
christiano	ronaldonun	ne
ronaldonun	ne	kadar
ne	kadar	fındık
kadar	fındık	kırdığını
fındık	kırdığını	herkes
kırdığını	herkes	biliyor
herkes	biliyor	ama
biliyor	ama	kimse
ama	kimse	bu
kimse	bu	adamlara
bu	adamlara	milli
adamlara	milli	meselelerde
milli	meselelerde	veya
meselelerde	veya	herhangi
veya	herhangi	bir
herhangi	bir	mevzuda
bir	mevzuda	bu
mevzuda	bu	kadar
bu	kadar	ketum
kadar	ketum	ve
ketum	ve	nemrut
ve	nemrut	davranmıyor
nemrut	davranmıyor	karşı
davranmıyor	karşı	işlenen
karşı	işlenen	avaş
işlenen	avaş	suçları
avaş	suçları	karşısında
suçları	karşısında	insan
karşısında	insan	nasıl
insan	nasıl	olur
nasıl	olur	da
olur	da	böyle
da	böyle	duyarsız
böyle	duyarsız	kalır
duyarsız	kalır	anlamak
kalır	anlamak	mümkün
anlamak	mümkün	değil
mümkün	değil	ceviz
değil	ceviz	üzerinde
ceviz	üzerinde	fındık
üzerinde	fındık	kıran
fındık	kıran	bir
kıran	bir	arkadaşım
bir	arkadaşım	bu
arkadaşım	bu	kez
bu	kez	ben
kez	ben	değilim
ben	değilim	yoga
değilim	yoga	öğretmeni
yoga	öğretmeni	bir
öğretmeni	bir	hatun
bir	hatun	düşürmüş
hatun	düşürmüş	genelde
düşürmüş	genelde	hafta
genelde	hafta	sonu
hafta	sonu	buluşur
sonu	buluşur	kahvemizi
buluşur	kahvemizi	içeriz
kahvemizi	içeriz	bugün
içeriz	bugün	git
bugün	git	yarın
git	yarın	gel
yarın	gel	en
gel	en	çok
en	çok	duyulan
çok	duyulan	sözcüktü
duyulan	sözcüktü	artık
sözcüktü	artık	tarih
artık	tarih	oldu
tarih	oldu	bugün
oldu	bugün	organize
bugün	organize	sanayindeki
organize	sanayindeki	fındık
sanayindeki	fındık	fabrikaları
fındık	fabrikaları	ha
fabrikaları	ha	bire
ha	bire	fındık
bire	fındık	kırıyor
fındık	kırıyor	yakacak
kırıyor	yakacak	kabuk
yakacak	kabuk	yığınlarının
kabuk	yığınlarının	taşkınlığını
yığınlarının	taşkınlığını	gördükçe
taşkınlığını	gördükçe	ey
gördükçe	ey	gidi
ey	gidi	günler
gidi	günler	ey
günler	ey	demekten
ey	demekten	de
demekten	de	kendimi
de	kendimi	alamıyorum
kendimi	alamıyorum	diyeceğim
alamıyorum	diyeceğim	o
diyeceğim	o	hastanenin
o	hastanenin	araçlık
hastanenin	araçlık	büyük
araçlık	büyük	bir
büyük	bir	otoparkı
bir	otoparkı	da
otoparkı	da	bulunuyor
da	bulunuyor	akşenere
bulunuyor	akşenere	şok
akşenere	şok	sözler
şok	sözler	üniversite
sözler	üniversite	yıllarını
üniversite	yıllarını	iyi
yıllarını	iyi	biliriz
iyi	biliriz	çok
biliriz	çok	fındık
çok	fındık	kırdın
fındık	kırdın	iyi
kırdın	iyi	parti
iyi	parti	genel
parti	genel	başkanı
genel	başkanı	meral
başkanı	meral	akşenerin
meral	akşenerin	alaattin
akşenerin	alaattin	çakıcı
alaattin	çakıcı	benim
çakıcı	benim	dava
benim	dava	arkadaşım
dava	arkadaşım	falan
arkadaşım	falan	değildir
falan	değildir	sözlerinin
değildir	sözlerinin	süre
sözlerinin	süre	sonunda
süre	sonunda	yine
sonunda	yine	evden
yine	evden	siparişleri
evden	siparişleri	alan
siparişleri	alan	firmalar
alan	firmalar	ödemeyi
firmalar	ödemeyi	her
ödemeyi	her	sipariş
her	sipariş	bitimi
sipariş	bitimi	elden
bitimi	elden	ya
elden	ya	da
ya	da	banka
da	banka	yolu
banka	yolu	ile
yolu	ile	yaparlar
ile	yaparlar	fındık
yaparlar	fındık	kırmak
fındık	kırmak	tam
kırmak	tam	da
tam	da	benim
da	benim	işim
benim	işim	diyorsanız
işim	diyorsanız	daha
diyorsanız	daha	fazla
daha	fazla	beklemeden
fazla	beklemeden	bir
beklemeden	bir	an
bir	an	önce
an	önce	başlamalısınız
önce	başlamalısınız	gözleri
başlamalısınız	gözleri	bozuk
gözleri	bozuk	mu
bozuk	mu	nasıl
mu	nasıl	anlaşılır
nasıl	anlaşılır	veren
anlaşılır	veren	bir
veren	bir	tür
bir	tür	olduğunu
tür	olduğunu	belirten
olduğunu	belirten	kızılcı
belirten	kızılcı	üreticinin
kızılcı	üreticinin	satışı
üreticinin	satışı	aşamasında
satışı	aşamasında	bu
aşamasında	bu	böceğin
bu	böceğin	zararı
böceğin	zararı	ortaya
zararı	ortaya	çıkmıyor
ortaya	çıkmıyor	ancak
çıkmıyor	ancak	fındık
ancak	fındık	kırıldıktan
fındık	kırıldıktan	sonra
kırıldıktan	sonra	görülebiliyor
sonra	görülebiliyor	bu
görülebiliyor	bu	nedenle
bu	nedenle	ihracatçılarımız
nedenle	ihracatçılarımız	böceğin
ihracatçılarımız	böceğin	zarar
böceğin	zarar	verdiği
zarar	verdiği	fındıklarda
verdiği	fındıklarda	kalite
fındıklarda	kalite	kaybı
kalite	kaybı	yaşıyorlar
kaybı	yaşıyorlar	dedi
yaşıyorlar	dedi	ın
dedi	ın	yıldızının
ın	yıldızının	diğer
yıldızının	diğer	yüzü
diğer	yüzü	ben
yüzü	ben	antrenörün
ben	antrenörün	yollanması
antrenörün	yollanması	için
yollanması	için	k
için	k	yeni
k	yeni	kardeş
yeni	kardeş	geldi
kardeş	geldi	ısa
geldi	ısa	boylu
ısa	boylu	cazcı
boylu	cazcı	kardeş
cazcı	kardeş	john
kardeş	john	belushinin
john	belushinin	aramızdan
belushinin	aramızdan	ayrılmasıyla
aramızdan	ayrılmasıyla	bu
ayrılmasıyla	bu	dosyanın
bu	dosyanın	kapandığını
dosyanın	kapandığını	düşündük
kapandığını	düşündük	zira
düşündük	zira	belushisiz
zira	belushisiz	cazcı
belushisiz	cazcı	kardeşlerköpekbalıksız
cazcı	kardeşlerköpekbalıksız	jawsa
kardeşlerköpekbalıksız	jawsa	benzer
jawsa	benzer	diye
benzer	diye	bir
diye	bir	zahmetler
bir	zahmetler	muhakkak
zahmetler	muhakkak	ki
muhakkak	ki	daha
ki	daha	çoktu
daha	çoktu	onlar
çoktu	onlar	atalarından
onlar	atalarından	gördükleri
atalarından	gördükleri	ve
gördükleri	ve	o
ve	o	yıllardaki
o	yıllardaki	imkânlarla
yıllardaki	imkânlarla	görevlerini
imkânlarla	görevlerini	yaparak
görevlerini	yaparak	aramızdan
yaparak	aramızdan	ayrıldılar
aramızdan	ayrıldılar	onların
ayrıldılar	onların	alın
onların	alın	terini
alın	terini	yiyerek
terini	yiyerek	büyüdük
yiyerek	büyüdük	o
büyüdük	o	zor
o	zor	günlerin
zor	günlerin	insanlarına
günlerin	insanlarına	şükran
insanlarına	şükran	borcumuzu
şükran	borcumuzu	bütün
borcumuzu	bütün	kalbimizle
bütün	kalbimizle	yapacağımız
kalbimizle	yapacağımız	eylem
yapacağımız	eylem	gerçekleştirdi
eylem	gerçekleştirdi	uzun
gerçekleştirdi	uzun	soluklu
uzun	soluklu	bir
soluklu	bir	koşu
bir	koşu	bizimkisi
koşu	bizimkisi	kimi
bizimkisi	kimi	zaman
kimi	zaman	tökezleyeceğiz
zaman	tökezleyeceğiz	kimi
tökezleyeceğiz	kimi	zaman
kimi	zaman	da
zaman	da	düşeceğiz
da	düşeceğiz	bu
düşeceğiz	bu	koşuda
bu	koşuda	aramızdan
koşuda	aramızdan	ayrılacaklarda
aramızdan	ayrılacaklarda	olacaktır
ayrılacaklarda	olacaktır	aramıza
olacaktır	aramıza	yeni
aramıza	yeni	katılanlar
yeni	katılanlar	da
katılanlar	da	kenyanın
da	kenyanın	sembolü
kenyanın	sembolü	olarak
sembolü	olarak	bilinen
olarak	bilinen	uzun
bilinen	uzun	dişli
uzun	dişli	fil
dişli	fil	satao
fil	satao	ii
satao	ii	avcılar
ii	avcılar	başka
avcılar	başka	anımı
başka	anımı	paylaşmak
anımı	paylaşmak	istiyorum
paylaşmak	istiyorum	asker
istiyorum	asker	ocağında
asker	ocağında	birkaç
ocağında	birkaç	arkadaş
birkaç	arkadaş	sohbet
arkadaş	sohbet	ediyoruz
sohbet	ediyoruz	malatyalı
ediyoruz	malatyalı	olan
malatyalı	olan	adaşım
olan	adaşım	mustafaya
adaşım	mustafaya	aramızdan
mustafaya	aramızdan	ayrılıp
aramızdan	ayrılıp	biraz
ayrılıp	biraz	ileriye
biraz	ileriye	gideceği
ileriye	gideceği	sırada
gideceği	sırada	nere
sırada	nere	lan
nere	lan	diye
lan	diye	seslendiğimde
diye	seslendiğimde	geriye
seslendiğimde	geriye	dönüp
geriye	dönüp	yüzüme
dönüp	yüzüme	bir
yüzüme	bir	yumruk
bir	yumruk	vurmasıyla
yumruk	vurmasıyla	gözlerim
vurmasıyla	gözlerim	kalmak
gözlerim	kalmak	yerine
kalmak	yerine	karşı
yerine	karşı	çıkmayı
karşı	çıkmayı	istediğim
çıkmayı	istediğim	için
istediğim	için	yazmadım
için	yazmadım	bir
yazmadım	bir	süre
bir	süre	sadece
süre	sadece	yorum
sadece	yorum	yapmayı
yorum	yapmayı	seçtim
yapmayı	seçtim	ve
seçtim	ve	bu
ve	bu	adamlar
bu	adamlar	yüzünden
adamlar	yüzünden	aramızdan
yüzünden	aramızdan	ayrılan
aramızdan	ayrılan	veya
ayrılan	veya	bu
veya	bu	siteye
bu	siteye	alakası
siteye	alakası	azalan
alakası	azalan	arkadaşların
azalan	arkadaşların	yavaş
arkadaşların	yavaş	yavaş
yavaş	yavaş	fazlalaşması
yavaş	fazlalaşması	da
fazlalaşması	da	canımı
da	canımı	sıkmadı
canımı	sıkmadı	değil
sıkmadı	değil	ne
değil	ne	diyorduk
ne	diyorduk	yazarken
diyorduk	yazarken	bir
yazarken	bir	kişidir
bir	kişidir	rakı
kişidir	rakı	masalarındaki
rakı	masalarındaki	ikinci
masalarındaki	ikinci	büyüğümüzdür
ikinci	büyüğümüzdür	dini
büyüğümüzdür	dini	milli
dini	milli	ciddi
milli	ciddi	yöresel
ciddi	yöresel	geleneksel
yöresel	geleneksel	noel
geleneksel	noel	yılbaşı
noel	yılbaşı	aybaşı
yılbaşı	aybaşı	doğum
aybaşı	doğum	günü
doğum	günü	v
günü	v	b
v	b	özel
b	özel	tüzel
özel	tüzel	resmi
tüzel	resmi	gayrı
resmi	gayrı	resmi
gayrı	resmi	hiç
resmi	hiç	bir
hiç	bir	günü
bir	günü	ve
günü	ve	bayramı
ve	bayramı	kutlamıyor
bayramı	kutlamıyor	inploid
kutlamıyor	inploid	taifesi
inploid	taifesi	maneviyetı
taifesi	maneviyetı	zayıf
maneviyetı	zayıf	tüketilir
zayıf	tüketilir	kurutulmuş
tüketilir	kurutulmuş	tohumları
kurutulmuş	tohumları	kaynatılarak
tohumları	kaynatılarak	yapılan
kaynatılarak	yapılan	çay
yapılan	çay	iştah
çay	iştah	açar
