arzu	ediyordu	fakat	allah
ediyordu	fakat	allah	nur
fakat	allah	nur	içinde
allah	nur	içinde	yatırsın
nur	içinde	yatırsın	aramızdan
içinde	yatırsın	aramızdan	ayrıldı
yatırsın	aramızdan	ayrıldı	rehber
aramızdan	ayrıldı	rehber	öğretmenimiz
ayrıldı	rehber	öğretmenimiz	salih
rehber	öğretmenimiz	salih	can
öğretmenimiz	salih	can	ataması
salih	can	ataması	çıkması
can	ataması	çıkması	sebebiyle
ataması	çıkması	sebebiyle	aramızdan
çıkması	sebebiyle	aramızdan	ayrıldı
sebebiyle	aramızdan	ayrıldı	sadık
aramızdan	ayrıldı	sadık	ahmetin
ayrıldı	sadık	ahmetin	şaibeli
sadık	ahmetin	şaibeli	bir
ahmetin	şaibeli	bir	trafik
şaibeli	bir	trafik	kazası
bir	trafik	kazası	ile
trafik	kazası	ile	aramızdan
kazası	ile	aramızdan	ayrılması
ile	aramızdan	ayrılması	sürecindeki
aramızdan	ayrılması	sürecindeki	baskıcı
ayrılması	sürecindeki	baskıcı	politikalar
sürecindeki	baskıcı	politikalar	maalesef
baskıcı	politikalar	maalesef	yılında
politikalar	maalesef	yılında	da
maalesef	yılında	da	azalmadan
yılında	da	azalmadan	devam
da	azalmadan	devam	etmektedir
azalmadan	devam	etmektedir	şartlar
devam	etmektedir	şartlar	gereği
etmektedir	şartlar	gereği	aramızdan
şartlar	gereği	aramızdan	ayrılacak
gereği	aramızdan	ayrılacak	olan
aramızdan	ayrılacak	olan	öğretmenenimiz
ayrılacak	olan	öğretmenenimiz	eren
olan	öğretmenenimiz	eren	kurta
öğretmenenimiz	eren	kurta	verdiği
eren	kurta	verdiği	hizmetlerden
kurta	verdiği	hizmetlerden	ötürü
verdiği	hizmetlerden	ötürü	teşekkürlerimi
hizmetlerden	ötürü	teşekkürlerimi	sunar
ötürü	teşekkürlerimi	sunar	gideceği
teşekkürlerimi	sunar	gideceği	yerde
sunar	gideceği	yerde	başarılarının
gideceği	yerde	başarılarının	devamını
yerde	başarılarının	devamını	dilerim
başarılarının	devamını	dilerim	sevgili
devamını	dilerim	sevgili	demir
dilerim	sevgili	demir	tiryakinin
sevgili	demir	tiryakinin	hazırladığı
demir	tiryakinin	hazırladığı	bakterilerin
tiryakinin	hazırladığı	bakterilerin	hüzünlü
hazırladığı	bakterilerin	hüzünlü	öyküsü
bakterilerin	hüzünlü	öyküsü	geçen
hüzünlü	öyküsü	geçen	yıl
öyküsü	geçen	yıl	aramızdan
geçen	yıl	aramızdan	ayrılan
yıl	aramızdan	ayrılan	sıkı
aramızdan	ayrılan	sıkı	ankemist
ayrılan	sıkı	ankemist	sinan
sıkı	ankemist	sinan	nur
ankemist	sinan	nur	kesimin
sinan	nur	kesimin	dağıttığı
nur	kesimin	dağıttığı	selpak
kesimin	dağıttığı	selpak	mendilleri
dağıttığı	selpak	mendilleri	eşliğinde
selpak	mendilleri	eşliğinde	göz
mendilleri	eşliğinde	göz	yaşlarıyla
eşliğinde	göz	yaşlarıyla	izlendi
göz	yaşlarıyla	izlendi	sırf
yaşlarıyla	izlendi	sırf	varlığıyla
izlendi	sırf	varlığıyla	bile
sırf	varlığıyla	bile	insan
varlığıyla	bile	insan	hakları
bile	insan	hakları	mücadelesine
insan	hakları	mücadelesine	insan
hakları	mücadelesine	insan	hakları
mücadelesine	insan	hakları	savunucularına
insan	hakları	savunucularına	azim
hakları	savunucularına	azim	ve
savunucularına	azim	ve	moral
azim	ve	moral	kaynağı
ve	moral	kaynağı	olan
moral	kaynağı	olan	sacide
kaynağı	olan	sacide	annemizin
olan	sacide	annemizin	aramızdan
sacide	annemizin	aramızdan	ayrılmasından
annemizin	aramızdan	ayrılmasından	büyük
aramızdan	ayrılmasından	büyük	bir
ayrılmasından	büyük	bir	üzüntü
büyük	bir	üzüntü	duyuyoruz
bir	üzüntü	duyuyoruz	tiyatroya
üzüntü	duyuyoruz	tiyatroya	gönül
duyuyoruz	tiyatroya	gönül	vermiş
tiyatroya	gönül	vermiş	öğretmen
gönül	vermiş	öğretmen	ve
vermiş	öğretmen	ve	öğrencilerimize
öğretmen	ve	öğrencilerimize	çok
ve	öğrencilerimize	çok	teşekkür
öğrencilerimize	çok	teşekkür	eder
çok	teşekkür	eder	mart
teşekkür	eder	mart	ayında
eder	mart	ayında	aramızdan
mart	ayında	aramızdan	ayrılan
ayında	aramızdan	ayrılan	ufuk
aramızdan	ayrılan	ufuk	öğretmenimize
ayrılan	ufuk	öğretmenimize	bir
ufuk	öğretmenimize	bir	kez
öğretmenimize	bir	kez	daha
bir	kez	daha	allahtan
kez	daha	allahtan	rahmet
daha	allahtan	rahmet	dileriz
allahtan	rahmet	dileriz	uğradığı
rahmet	dileriz	uğradığı	silahlı
dileriz	uğradığı	silahlı	saldırı
uğradığı	silahlı	saldırı	sonucu
silahlı	saldırı	sonucu	aramızdan
saldırı	sonucu	aramızdan	ayrılan
sonucu	aramızdan	ayrılan	lastikiş
aramızdan	ayrılan	lastikiş	sendikası
ayrılan	lastikiş	sendikası	genel
lastikiş	sendikası	genel	başkanı
sendikası	genel	başkanı	abdullah
genel	başkanı	abdullah	karacana
başkanı	abdullah	karacana	allahtan
abdullah	karacana	allahtan	rahmet
karacana	allahtan	rahmet	kederli
allahtan	rahmet	kederli	ailesine
rahmet	kederli	ailesine	lastikiş
kederli	ailesine	lastikiş	camiasına
ailesine	lastikiş	camiasına	ve
lastikiş	camiasına	ve	tüm
camiasına	ve	tüm	sevenlerine
ve	tüm	sevenlerine	sabırlar
tüm	sevenlerine	sabırlar	dileriz
sevenlerine	sabırlar	dileriz	varol
sabırlar	dileriz	varol	günyaşar
dileriz	varol	günyaşar	yakalandığı
varol	günyaşar	yakalandığı	amansız
günyaşar	yakalandığı	amansız	hastalığa
yakalandığı	amansız	hastalığa	yenik
amansız	hastalığa	yenik	düşerek
hastalığa	yenik	düşerek	temmuz
yenik	düşerek	temmuz	tarihinde
düşerek	temmuz	tarihinde	çok
temmuz	tarihinde	çok	erken
tarihinde	çok	erken	bir
çok	erken	bir	yaşta
erken	bir	yaşta	aramızdan
bir	yaşta	aramızdan	ayrılmıştır
yaşta	aramızdan	ayrılmıştır	yeşilçamın
aramızdan	ayrılmıştır	yeşilçamın	sevilen
ayrılmıştır	yeşilçamın	sevilen	simalarından
yeşilçamın	sevilen	simalarından	sıtkı
sevilen	simalarından	sıtkı	sezginin
simalarından	sıtkı	sezginin	aramızdan
sıtkı	sezginin	aramızdan	ayrılışını
sezginin	aramızdan	ayrılışını	derin
aramızdan	ayrılışını	derin	bir
ayrılışını	derin	bir	üzüntü
derin	bir	üzüntü	ile
bir	üzüntü	ile	öğrenmiş
üzüntü	ile	öğrenmiş	bulunmaktayım
ile	öğrenmiş	bulunmaktayım	yine
öğrenmiş	bulunmaktayım	yine	anneler
bulunmaktayım	yine	anneler	gününü
yine	anneler	gününü	kutladık
anneler	gününü	kutladık	yeniden
gününü	kutladık	yeniden	tüm
kutladık	yeniden	tüm	annelerin
yeniden	tüm	annelerin	ve
tüm	annelerin	ve	anne
annelerin	ve	anne	adaylarının
ve	anne	adaylarının	anneler
anne	adaylarının	anneler	gününü
adaylarının	anneler	gününü	kutlar
anneler	gününü	kutlar	aynı
gününü	kutlar	aynı	zamanda
kutlar	aynı	zamanda	aramızdan
aynı	zamanda	aramızdan	ayrılmış
zamanda	aramızdan	ayrılmış	olan
aramızdan	ayrılmış	olan	annelerimize
ayrılmış	olan	annelerimize	ve
olan	annelerimize	ve	kederli
annelerimize	ve	kederli	ailelerine
ve	kederli	ailelerine	de
kederli	ailelerine	de	baş
ailelerine	de	baş	sağlığı
de	baş	sağlığı	dileriz
baş	sağlığı	dileriz	youtubea
sağlığı	dileriz	youtubea	erişim
dileriz	youtubea	erişim	ise
youtubea	erişim	ise	hala
erişim	ise	hala	engelli
ise	hala	engelli	fındıkta
hala	engelli	fındıkta	ise
engelli	fındıkta	ise	fındık
fındıkta	ise	fındık	fiyatını
ise	fındık	fiyatını	belirlemek
fındık	fiyatını	belirlemek	başta
fiyatını	belirlemek	başta	olmak
belirlemek	başta	olmak	üzere
başta	olmak	üzere	bulancak
olmak	üzere	bulancak	fındık
üzere	bulancak	fındık	kırma
bulancak	fındık	kırma	fabrikalarının
fındık	kırma	fabrikalarının	sayıları
kırma	fabrikalarının	sayıları	ile
fabrikalarının	sayıları	ile	ilçede
sayıları	ile	ilçede	iş
ile	ilçede	iş	alanı
ilçede	iş	alanı	olarak
iş	alanı	olarak	çok
alanı	olarak	çok	kişiye
olarak	çok	kişiye	ekmek
çok	kişiye	ekmek	kapısıydı
kişiye	ekmek	kapısıydı	olam
ekmek	kapısıydı	olam	progıda
kapısıydı	olam	progıda	türkiyede
olam	progıda	türkiyede	giresunda
progıda	türkiyede	giresunda	bir
türkiyede	giresunda	bir	entegre
giresunda	bir	entegre	tesis
bir	entegre	tesis	ordu
entegre	tesis	ordu	ve
tesis	ordu	ve	sakaryada
ordu	ve	sakaryada	iki
ve	sakaryada	iki	fındık
sakaryada	iki	fındık	kırma
iki	fındık	kırma	tesisi
fındık	kırma	tesisi	samsunda
kırma	tesisi	samsunda	bir
tesisi	samsunda	bir	susam
samsunda	bir	susam	işleme
bir	susam	işleme	tesisi
susam	işleme	tesisi	mersinde
işleme	tesisi	mersinde	bir
tesisi	mersinde	bir	satış
mersinde	bir	satış	ofisi
bir	satış	ofisi	ve
satış	ofisi	ve	istanbulda
ofisi	ve	istanbulda	ise
ve	istanbulda	ise	merkez
istanbulda	ise	merkez	ofise
ise	merkez	ofise	sahiptir
merkez	ofise	sahiptir	ancak
ofise	sahiptir	ancak	ülkemizde
sahiptir	ancak	ülkemizde	yaygın
ancak	ülkemizde	yaygın	olan
ülkemizde	yaygın	olan	iki
yaygın	olan	iki	canlısın
olan	iki	canlısın	iki
iki	canlısın	iki	kat
canlısın	iki	kat	yemelisin
iki	kat	yemelisin	inancı
kat	yemelisin	inancı	faydalı
yemelisin	inancı	faydalı	olmadığı
inancı	faydalı	olmadığı	gibi
faydalı	olmadığı	gibi	kalıccı
olmadığı	gibi	kalıccı	kiloya
gibi	kalıccı	kiloya	sebep
kalıccı	kiloya	sebep	olabilir
kiloya	sebep	olabilir	aynı
sebep	olabilir	aynı	vazoda
olabilir	aynı	vazoda	yaşayan
aynı	vazoda	yaşayan	iki
vazoda	yaşayan	iki	canlının
yaşayan	iki	canlının	yaşamına
iki	canlının	yaşamına	dikkat
canlının	yaşamına	dikkat	çekildi
yaşamına	dikkat	çekildi	empati
dikkat	çekildi	empati	birbirlerine
çekildi	empati	birbirlerine	manevi
empati	birbirlerine	manevi	bakımdan
birbirlerine	manevi	bakımdan	sıkıca
manevi	bakımdan	sıkıca	bağlı
bakımdan	sıkıca	bağlı	iki
sıkıca	bağlı	iki	canlı
bağlı	iki	canlı	arasında
iki	canlı	arasında	duygu
canlı	arasında	duygu	ve
arasında	duygu	ve	ruhsal
duygu	ve	ruhsal	hallerin
ve	ruhsal	hallerin	aktarılması
ruhsal	hallerin	aktarılması	ine
hallerin	aktarılması	ine	ve
aktarılması	ine	ve	bu
ine	ve	bu	psişik
ve	bu	psişik	irtibata
bu	psişik	irtibata	parapsikolojide
psişik	irtibata	parapsikolojide	verilen
irtibata	parapsikolojide	verilen	addır
parapsikolojide	verilen	addır	endüstriyel
verilen	addır	endüstriyel	simbiyoz
addır	endüstriyel	simbiyoz	simbiyoz
endüstriyel	simbiyoz	simbiyoz	biyolojik
simbiyoz	simbiyoz	biyolojik	bir
simbiyoz	biyolojik	bir	terimdir
biyolojik	bir	terimdir	ve
bir	terimdir	ve	iki
terimdir	ve	iki	canlının
ve	iki	canlının	tek
iki	canlının	tek	bir
canlının	tek	bir	organizma
tek	bir	organizma	gibi
bir	organizma	gibi	birbirleriyle
organizma	gibi	birbirleriyle	yardımlaşarak
gibi	birbirleriyle	yardımlaşarak	bir
birbirleriyle	yardımlaşarak	bir	arada
yardımlaşarak	bir	arada	yaşamaları
bir	arada	yaşamaları	anlamına
arada	yaşamaları	anlamına	gelmektedir
yaşamaları	anlamına	gelmektedir	gizli
anlamına	gelmektedir	gizli	sırlarını
gelmektedir	gizli	sırlarını	ifşa
gizli	sırlarını	ifşa	eder
sırlarını	ifşa	eder	ruhi
ifşa	eder	ruhi	çöküntü
eder	ruhi	çöküntü	uyuşukluk
ruhi	çöküntü	uyuşukluk	miskinlik
çöküntü	uyuşukluk	miskinlik	melankoli
uyuşukluk	miskinlik	melankoli	beklenen
miskinlik	melankoli	beklenen	tezahürlerdir
melankoli	beklenen	tezahürlerdir	şizofreni
beklenen	tezahürlerdir	şizofreni	gibi
tezahürlerdir	şizofreni	gibi	akıl
şizofreni	gibi	akıl	hastalığı
gibi	akıl	hastalığı	zihin
akıl	hastalığı	zihin	karışıklığı
hastalığı	zihin	karışıklığı	şuur
zihin	karışıklığı	şuur	kaybı
karışıklığı	şuur	kaybı	uyuşukluk
şuur	kaybı	uyuşukluk	ve
kaybı	uyuşukluk	ve	deliliğe
uyuşukluk	ve	deliliğe	yol
ve	deliliğe	yol	açan
deliliğe	yol	açan	esrar
yol	açan	esrar	asla
açan	esrar	asla	küçümsenmeyecek
esrar	asla	küçümsenmeyecek	tehlikeli
asla	küçümsenmeyecek	tehlikeli	bir
küçümsenmeyecek	tehlikeli	bir	rüyalara
tehlikeli	bir	rüyalara	sığınma
bir	rüyalara	sığınma	aynı
rüyalara	sığınma	aynı	zamanda
sığınma	aynı	zamanda	hayatın
aynı	zamanda	hayatın	çirkinliklerinden
zamanda	hayatın	çirkinliklerinden	bir
hayatın	çirkinliklerinden	bir	kaçış
çirkinliklerinden	bir	kaçış	ve
bir	kaçış	ve	kurtuluştur
kaçış	ve	kurtuluştur	e
ve	kurtuluştur	e	çılgınlık
kurtuluştur	e	çılgınlık	sürrealistler
e	çılgınlık	sürrealistler	akıl
çılgınlık	sürrealistler	akıl	hastaları
sürrealistler	akıl	hastaları	uyuşturucu
akıl	hastaları	uyuşturucu	madde
hastaları	uyuşturucu	madde	kullananlar
uyuşturucu	madde	kullananlar	ve
madde	kullananlar	ve	paranoyalara
kullananlar	ve	paranoyalara	karşı
ve	paranoyalara	karşı	özel
paranoyalara	karşı	özel	bir
karşı	özel	bir	yakınlık
özel	bir	yakınlık	ve
bir	yakınlık	ve	ilgi
yakınlık	ve	ilgi	duyarlar
ve	ilgi	duyarlar	çünkü
ilgi	duyarlar	çünkü	sarhoşluk
duyarlar	çünkü	sarhoşluk	delilik
çünkü	sarhoşluk	delilik	gelmeyebilir
sarhoşluk	delilik	gelmeyebilir	ama
delilik	gelmeyebilir	ama	aralarında
gelmeyebilir	ama	aralarında	soonchunhyang
ama	aralarında	soonchunhyang	medibio
aralarında	soonchunhyang	medibio	science
soonchunhyang	medibio	science	enstitüsündekilerin
medibio	science	enstitüsündekilerin	de
science	enstitüsündekilerin	de	bulunduğu
enstitüsündekilerin	de	bulunduğu	bilim
de	bulunduğu	bilim	insanları
bulunduğu	bilim	insanları	akıl
bilim	insanları	akıl	hastalıkları
insanları	akıl	hastalıkları	da
akıl	hastalıkları	da	dahil
hastalıkları	da	dahil	birçok
da	dahil	birçok	hastalığın
dahil	birçok	hastalığın	kökeninde
birçok	hastalığın	kökeninde	yatan
hastalığın	kökeninde	yatan	enflamasyonu
kökeninde	yatan	enflamasyonu	azaltmak
yatan	enflamasyonu	azaltmak	ve
enflamasyonu	azaltmak	ve	kovid
azaltmak	ve	kovid	benzeri
ve	kovid	benzeri	enfeksiyonlarla
kovid	benzeri	enfeksiyonlarla	mücadele
benzeri	enfeksiyonlarla	mücadele	liderliğinde
enfeksiyonlarla	mücadele	liderliğinde	veri
mücadele	liderliğinde	veri	güdümlü
liderliğinde	veri	güdümlü	adalet
veri	güdümlü	adalet	inisiyatifi
güdümlü	adalet	inisiyatifi	johnson
adalet	inisiyatifi	johnson	countyi
inisiyatifi	johnson	countyi	de
johnson	countyi	de	çalışmalara
countyi	de	çalışmalara	dahil
de	çalışmalara	dahil	eder
çalışmalara	dahil	eder	mahkumların
dahil	eder	mahkumların	üçte
eder	mahkumların	üçte	ikisi
mahkumların	üçte	ikisi	akıl
üçte	ikisi	akıl	hastalığı
ikisi	akıl	hastalığı	üçte
akıl	hastalığı	üçte	ikisi
hastalığı	üçte	ikisi	madde
üçte	ikisi	madde	bağımlılığı
ikisi	madde	bağımlılığı	ve
madde	bağımlılığı	ve	neredeyse
bağımlılığı	ve	neredeyse	yarısı
ve	neredeyse	yarısı	kronik
neredeyse	yarısı	kronik	sağlık
yarısı	kronik	sağlık	sorunları
kronik	sağlık	sorunları	yaşamaktadır
sağlık	sorunları	yaşamaktadır	akıl
sorunları	yaşamaktadır	akıl	hastaları
yaşamaktadır	akıl	hastaları	için
akıl	hastaları	için	inşaatlarda
hastaları	için	inşaatlarda	çalışıyor
için	inşaatlarda	çalışıyor	engelli
inşaatlarda	çalışıyor	engelli	babanın
çalışıyor	engelli	babanın	kızını
engelli	babanın	kızını	yaşatma
babanın	kızını	yaşatma	azmi
kızını	yaşatma	azmi	görenleri
yaşatma	azmi	görenleri	duygulandırıyor
azmi	görenleri	duygulandırıyor	yaşındaki
görenleri	duygulandırıyor	yaşındaki	amansız
duygulandırıyor	yaşındaki	amansız	hastalıkla
yaşındaki	amansız	hastalıkla	mücadele
amansız	hastalıkla	mücadele	eden
hastalıkla	mücadele	eden	genç
mücadele	eden	genç	kızın
eden	genç	kızın	feryadı
genç	kızın	feryadı	sadece
kızın	feryadı	sadece	iyileşmek
feryadı	sadece	iyileşmek	istiyorum
sadece	iyileşmek	istiyorum	kastamonunun
iyileşmek	istiyorum	kastamonunun	seydiler
istiyorum	kastamonunun	seydiler	ilçesinde
kastamonunun	seydiler	ilçesinde	ikamet
seydiler	ilçesinde	ikamet	eden
ilçesinde	ikamet	eden	seçkinkapanan
ikamet	eden	seçkinkapanan	eczanesi
eden	seçkinkapanan	eczanesi	sahip
seçkinkapanan	eczanesi	sahip	ve
eczanesi	sahip	ve	mesul
sahip	ve	mesul	müdürü
ve	mesul	müdürü	değerli
mesul	müdürü	değerli	meslektaşımız
müdürü	değerli	meslektaşımız	ecz
değerli	meslektaşımız	ecz	sezai
meslektaşımız	ecz	sezai	seçki
ecz	sezai	seçki	yakalandığı
sezai	seçki	yakalandığı	amansız
seçki	yakalandığı	amansız	hastalığa
yakalandığı	amansız	hastalığa	yenik
amansız	hastalığa	yenik	düşerek
hastalığa	yenik	düşerek	tarihinde
yenik	düşerek	tarihinde	vefat
düşerek	tarihinde	vefat	etmiş
tarihinde	vefat	etmiş	ve
vefat	etmiş	ve	defnedilmiştir
etmiş	ve	defnedilmiştir	özellikleri
ve	defnedilmiştir	özellikleri	cihazda
defnedilmiştir	özellikleri	cihazda	göze
özellikleri	cihazda	göze	çarpan
cihazda	göze	çarpan	özelliklerin
göze	çarpan	özelliklerin	olacak
çarpan	özelliklerin	olacak	veremin
özelliklerin	olacak	veremin	halk
olacak	veremin	halk	arasındaki
veremin	halk	arasındaki	bir
halk	arasındaki	bir	adı
arasındaki	bir	adı	da
bir	adı	da	ince
adı	da	ince	marazdır
da	ince	marazdır	ne
ince	marazdır	ne	hazindir
marazdır	ne	hazindir	ki
ne	hazindir	ki	ocaklıya
hazindir	ki	ocaklıya	doktorlargünümüzün
ki	ocaklıya	doktorlargünümüzün	bir
ocaklıya	doktorlargünümüzün	bir	başka
doktorlargünümüzün	bir	başka	amansız
bir	başka	amansız	hastalığı
başka	amansız	hastalığı	olan
amansız	hastalığı	olan	kanser
hastalığı	olan	kanser	teşhisini
olan	kanser	teşhisini	koydular
kanser	teşhisini	koydular	ve
teşhisini	koydular	ve	bir
koydular	ve	bir	yılı
ve	bir	yılı	aşkın
bir	yılı	aşkın	süre
yılı	aşkın	süre	bu
aşkın	süre	bu	hastalıkla
süre	bu	hastalıkla	mücadele
bu	hastalıkla	mücadele	etmek
hastalıkla	mücadele	etmek	durumunda
mücadele	etmek	durumunda	kaldı
etmek	durumunda	kaldı	şakacı
durumunda	kaldı	şakacı	bir
kaldı	şakacı	bir	teşhis
şakacı	bir	teşhis	ve
bir	teşhis	ve	tedaviye
teşhis	ve	tedaviye	için
ve	tedaviye	için	yönlendirileceklerdir
tedaviye	için	yönlendirileceklerdir	ve
için	yönlendirileceklerdir	ve	çabalanacaktır
yönlendirileceklerdir	ve	çabalanacaktır	başta
ve	çabalanacaktır	başta	kanserli
çabalanacaktır	başta	kanserli	hastalarımız
başta	kanserli	hastalarımız	olmak
kanserli	hastalarımız	olmak	üzere
hastalarımız	olmak	üzere	amansız
olmak	üzere	amansız	hastalıkların
üzere	amansız	hastalıkların	pençesine
amansız	hastalıkların	pençesine	düşmüşgerek
hastalıkların	pençesine	düşmüşgerek	ulusal
pençesine	düşmüşgerek	ulusal	gerekse
düşmüşgerek	ulusal	gerekse	de
ulusal	gerekse	de	uluslar
gerekse	de	uluslar	arası
de	uluslar	arası	yardıma
uluslar	arası	yardıma	muhtaç
arası	yardıma	muhtaç	tüm
yardıma	muhtaç	tüm	birey
muhtaç	tüm	birey	ve
tüm	birey	ve	toplumların
birey	ve	toplumların	gerek
ve	toplumların	gerek	maddi
toplumların	gerek	maddi	gerek
gerek	maddi	gerek	maaşları
maddi	gerek	maaşları	mecliste
gerek	maaşları	mecliste	gerginlik
maaşları	mecliste	gerginlik	kocaeli
mecliste	gerginlik	kocaeli	barosu
gerginlik	kocaeli	barosu	eski
kocaeli	barosu	eski	başkanlarından
barosu	eski	başkanlarından	avukat
eski	başkanlarından	avukat	bora
başkanlarından	avukat	bora	uluç
avukat	bora	uluç	bir
bora	uluç	bir	süredir
uluç	bir	süredir	tedavi
bir	süredir	tedavi	gördü
süredir	tedavi	gördü	amansız
tedavi	gördü	amansız	hastalığa
gördü	amansız	hastalığa	yenik
amansız	hastalığa	yenik	düştü
hastalığa	yenik	düştü	izmitlilerin
yenik	düştü	izmitlilerin	yakından
düştü	izmitlilerin	yakından	tanıdığı
izmitlilerin	yakından	tanıdığı	ve
yakından	tanıdığı	ve	sevdiği
tanıdığı	ve	sevdiği	sivil
ve	sevdiği	sivil	toplum
sevdiği	sivil	toplum	ve
sivil	toplum	ve	cemiyet
toplum	ve	cemiyet	başiskele
ve	cemiyet	başiskele	belediyesi
cemiyet	başiskele	belediyesi	teslim
başiskele	belediyesi	teslim	edildi
belediyesi	teslim	edildi	vanın
teslim	edildi	vanın	erciş
edildi	vanın	erciş	ilçesinde
vanın	erciş	ilçesinde	yaşayan
erciş	ilçesinde	yaşayan	demir
ilçesinde	yaşayan	demir	ailesinin
yaşayan	demir	ailesinin	üçüncü
demir	ailesinin	üçüncü	çocuğu
ailesinin	üçüncü	çocuğu	olan
üçüncü	çocuğu	olan	mehdi
çocuğu	olan	mehdi	demir
olan	mehdi	demir	yakalandığı
mehdi	demir	yakalandığı	amansız
demir	yakalandığı	amansız	hastalığa
yakalandığı	amansız	hastalığa	yenik
amansız	hastalığa	yenik	düşerek
hastalığa	yenik	düşerek	bugün
yenik	düşerek	bugün	hayata
düşerek	bugün	hayata	gözlerini
bugün	hayata	gözlerini	yumdu
hayata	gözlerini	yumdu	istanbul
gözlerini	yumdu	istanbul	caddelerini
yumdu	istanbul	caddelerini	parselleyen
istanbul	caddelerini	parselleyen	korsan
caddelerini	parselleyen	korsan	valelerin
parselleyen	korsan	valelerin	saçtığı
korsan	valelerin	saçtığı	korku
valelerin	saçtığı	korku	communications
saçtığı	korku	communications	dergisinde
korku	communications	dergisinde	yayınlandı
communications	dergisinde	yayınlandı	sürüngenlerin
dergisinde	yayınlandı	sürüngenlerin	dostu
yayınlandı	sürüngenlerin	dostu	olarak
sürüngenlerin	dostu	olarak	bilinen
dostu	olarak	bilinen	ve
olarak	bilinen	ve	geçtiğimiz
bilinen	ve	geçtiğimiz	mart
ve	geçtiğimiz	mart	ayında
geçtiğimiz	mart	ayında	yakalandığı
mart	ayında	yakalandığı	amansız
ayında	yakalandığı	amansız	hastalığa
yakalandığı	amansız	hastalığa	yenik
amansız	hastalığa	yenik	düşerek
hastalığa	yenik	düşerek	vefat
yenik	düşerek	vefat	eden
düşerek	vefat	eden	ege
vefat	eden	ege	üniversitesi
eden	ege	üniversitesi	fen
ege	üniversitesi	fen	fakültesi
üniversitesi	fen	fakültesi	biyoloji
fen	fakültesi	biyoloji	bölümü
fakültesi	biyoloji	bölümü	zooloji
biyoloji	bölümü	zooloji	anabilim
bölümü	zooloji	anabilim	dalı
zooloji	anabilim	dalı	öğretim
anabilim	dalı	öğretim	üyesi
dalı	öğretim	üyesi	prof
öğretim	üyesi	prof	duruyor
üyesi	prof	duruyor	buna
prof	duruyor	buna	karşın
duruyor	buna	karşın	her
buna	karşın	her	saat
karşın	her	saat	içinde
her	saat	içinde	dünyada
saat	içinde	dünyada	yüzlerce
içinde	dünyada	yüzlerce	insan
dünyada	yüzlerce	insan	amansız
yüzlerce	insan	amansız	hastalıklara
insan	amansız	hastalıklara	ya
amansız	hastalıklara	ya	yakalanıyor
hastalıklara	ya	yakalanıyor	yahut
ya	yakalanıyor	yahut	da
yakalanıyor	yahut	da	bu
yahut	da	bu	amansız
da	bu	amansız	hastalıklardan
bu	amansız	hastalıklardan	ölüyor
amansız	hastalıklardan	ölüyor	peki
hastalıklardan	ölüyor	peki	ya
ölüyor	peki	ya	dünya
peki	ya	dünya	üzerinde
ya	dünya	üzerinde	tahminen
dünya	üzerinde	tahminen	sayısı
üzerinde	tahminen	sayısı	milyar
tahminen	sayısı	milyar	olan
sayısı	milyar	olan	internete
milyar	olan	internete	bağlı
olan	internete	bağlı	tüm
internete	bağlı	tüm	bilgisayarlar
bağlı	tüm	bilgisayarlar	insanlığın
tüm	bilgisayarlar	insanlığın	bu
bilgisayarlar	insanlığın	bu	en
insanlığın	bu	en	kanserine
bu	en	kanserine	yakalanan
en	kanserine	yakalanan	dr
kanserine	yakalanan	dr	jane
yakalanan	dr	jane	plantın
dr	jane	plantın	hikayesini
jane	plantın	hikayesini	anlatmaktadır
plantın	hikayesini	anlatmaktadır	hastalandıktan
hikayesini	anlatmaktadır	hastalandıktan	sonra
anlatmaktadır	hastalandıktan	sonra	mesleğini
hastalandıktan	sonra	mesleğini	bırakan
sonra	mesleğini	bırakan	jane
mesleğini	bırakan	jane	bu
bırakan	jane	bu	amansız
jane	bu	amansız	hastalıkla
bu	amansız	hastalıkla	yılmadan
amansız	hastalıkla	yılmadan	mücadele
hastalıkla	yılmadan	mücadele	etmeye
yılmadan	mücadele	etmeye	başladı
mücadele	etmeye	başladı	geçen
etmeye	başladı	geçen	süre
başladı	geçen	süre	içinde
geçen	süre	içinde	hastalığı
süre	içinde	hastalığı	kez
içinde	hastalığı	kez	tekrar
hastalığı	kez	tekrar	etmesine
kez	tekrar	etmesine	rağmen
tekrar	etmesine	rağmen	pes
etmesine	rağmen	pes	etmedi
rağmen	pes	etmedi	daha
pes	etmedi	daha	somut
etmedi	daha	somut	sevgisi
daha	somut	sevgisi	vardı
somut	sevgisi	vardı	kuşkusuz
sevgisi	vardı	kuşkusuz	diğer
vardı	kuşkusuz	diğer	oğlu
kuşkusuz	diğer	oğlu	ercüment
diğer	oğlu	ercüment	ekremi
oğlu	ercüment	ekremi	de
ercüment	ekremi	de	seviyordu
ekremi	de	seviyordu	ama
de	seviyordu	ama	nijadın
seviyordu	ama	nijadın	yeri
ama	nijadın	yeri	bambaşkaydı
nijadın	yeri	bambaşkaydı	nijad
yeri	bambaşkaydı	nijad	yakalandığı
bambaşkaydı	nijad	yakalandığı	amansız
nijad	yakalandığı	amansız	hastalıktan
yakalandığı	amansız	hastalıktan	kurtarılamayıp
amansız	hastalıktan	kurtarılamayıp	ölünce
